time;state;goal
0;0;1
0,01;0;1
0,02;0;1
0,03;0;1
0,04;0;1
0,05;0;1
0,06;0;1
0,07;0;1
0,08;0;1
0,09;0;1
0,1;0;1
0,11;0,0002;1
0,12;0,000596;1
0,13;0,00118406;1
0,14;0,0019603;1
0,15;0,0029209;1
0,16;0,00406208;1
0,17;0,00538016;1
0,18;0,00687146;1
0,19;0,0085324;1
0,2;0,0103594;1
0,21;0,0123491;1
0,22;0,0144979;1
0,23;0,0168024;1
0,24;0,0192593;1
0,25;0,0218652;1
0,26;0,0246166;1
0,27;0,0275102;1
0,28;0,0305427;1
0,29;0,0337107;1
0,3;0,0370109;1
0,31;0,04044;1
0,32;0,0439948;1
0,33;0,0476719;1
0,34;0,0514682;1
0,35;0,0553805;1
0,36;0,0594055;1
0,37;0,0635401;1
0,38;0,0677811;1
0,39;0,0721255;1
0,4;0,0765701;1
0,41;0,0811119;1
0,42;0,0857477;1
0,43;0,0904747;1
0,44;0,0952897;1
0,45;0,10019;1
0,46;0,105172;1
0,47;0,110234;1
0,48;0,115372;1
0,49;0,120583;1
0,5;0,125865;1
0,51;0,131215;1
0,52;0,13663;1
0,53;0,142108;1
0,54;0,147645;1
0,55;0,153239;1
0,56;0,158887;1
0,57;0,164587;1
0,58;0,170336;1
0,59;0,176132;1
0,6;0,181972;1
0,61;0,187853;1
0,62;0,193773;1
0,63;0,199729;1
0,64;0,20572;1
0,65;0,211743;1
0,66;0,217795;1
0,67;0,223874;1
0,68;0,229978;1
0,69;0,236105;1
0,7;0,242252;1
0,71;0,248417;1
0,72;0,254598;1
0,73;0,260794;1
0,74;0,267001;1
0,75;0,273218;1
0,76;0,279443;1
0,77;0,285674;1
0,78;0,291908;1
0,79;0,298145;1
0,8;0,304381;1
0,81;0,310616;1
0,82;0,316847;1
0,83;0,323073;1
0,84;0,329292;1
0,85;0,335502;1
0,86;0,341701;1
0,87;0,347888;1
0,88;0,354062;1
0,89;0,36022;1
0,9;0,366361;1
0,91;0,372484;1
0,92;0,378586;1
0,93;0,384667;1
0,94;0,390726;1
0,95;0,39676;1
0,96;0,402768;1
0,97;0,40875;1
0,98;0,414703;1
0,99;0,420627;1
1;0,42652;1
1,01;0,432381;1
1,02;0,438209;1
1,03;0,444003;1
1,04;0,449761;1
1,05;0,455483;1
1,06;0,461167;1
1,07;0,466812;1
1,08;0,472418;1
1,09;0,477984;1
1,1;0,483508;1
1,11;0,488989;1
1,12;0,494427;1
1,13;0,499822;1
1,14;0,505171;1
1,15;0,510474;1
1,16;0,515731;1
1,17;0,52094;1
1,18;0,526102;1
1,19;0,531215;1
1,2;0,536278;1
1,21;0,541292;1
1,22;0,546255;1
1,23;0,551167;1
1,24;0,556027;1
1,25;0,560834;1
1,26;0,565589;1
1,27;0,570291;1
1,28;0,574939;1
1,29;0,579533;1
1,3;0,584072;1
1,31;0,588556;1
1,32;0,592985;1
1,33;0,597358;1
1,34;0,601675;1
1,35;0,605936;1
1,36;0,61014;1
1,37;0,614288;1
1,38;0,618378;1
1,39;0,622411;1
1,4;0,626386;1
1,41;0,630304;1
1,42;0,634164;1
1,43;0,637966;1
1,44;0,64171;1
1,45;0,645396;1
1,46;0,649024;1
1,47;0,652593;1
1,48;0,656105;1
1,49;0,659557;1
1,5;0,662952;1
1,51;0,666288;1
1,52;0,669566;1
1,53;0,672785;1
1,54;0,675946;1
1,55;0,67905;1
1,56;0,682095;1
1,57;0,685082;1
1,58;0,688012;1
1,59;0,690884;1
1,6;0,693698;1
1,61;0,696456;1
1,62;0,699156;1
1,63;0,701799;1
1,64;0,704386;1
1,65;0,706916;1
1,66;0,709389;1
1,67;0,711807;1
1,68;0,714169;1
1,69;0,716476;1
1,7;0,718728;1
1,71;0,720924;1
1,72;0,723067;1
1,73;0,725155;1
1,74;0,727189;1
1,75;0,729169;1
1,76;0,731096;1
1,77;0,732971;1
1,78;0,734793;1
1,79;0,736562;1
1,8;0,738281;1
1,81;0,739947;1
1,82;0,741563;1
1,83;0,743129;1
1,84;0,744644;1
1,85;0,74611;1
1,86;0,747526;1
1,87;0,748894;1
1,88;0,750213;1
1,89;0,751485;1
1,9;0,752709;1
1,91;0,753886;1
1,92;0,755017;1
1,93;0,756101;1
1,94;0,757141;1
1,95;0,758135;1
1,96;0,759084;1
1,97;0,75999;1
1,98;0,760852;1
1,99;0,761671;1
2;0,762448;1
2,01;0,763182;1
2,02;0,763875;1
2,03;0,764527;1
2,04;0,765139;1
2,05;0,765711;1
2,06;0,766243;1
2,07;0,766737;1
2,08;0,767192;1
2,09;0,767609;1
2,1;0,76799;1
2,11;0,768333;1
2,12;0,768641;1
2,13;0,768912;1
2,14;0,769149;1
2,15;0,769351;1
2,16;0,769519;1
2,17;0,769654;1
2,18;0,769756;1
2,19;0,769825;1
2,2;0,769863;1
2,21;0,769869;1
2,22;0,769845;1
2,23;0,769791;1
2,24;0,769707;1
2,25;0,769593;1
2,26;0,769452;1
2,27;0,769282;1
2,28;0,769085;1
2,29;0,768861;1
2,3;0,76861;1
2,31;0,768334;1
2,32;0,768032;1
2,33;0,767706;1
2,34;0,767355;1
2,35;0,766981;1
2,36;0,766584;1
2,37;0,766163;1
2,38;0,765721;1
2,39;0,765257;1
2,4;0,764772;1
2,41;0,764266;1
2,42;0,763741;1
2,43;0,763195;1
2,44;0,762631;1
2,45;0,762048;1
2,46;0,761447;1
2,47;0,760828;1
2,48;0,760192;1
2,49;0,75954;1
2,5;0,758872;1
2,51;0,758188;1
2,52;0,757488;1
2,53;0,756774;1
2,54;0,756046;1
2,55;0,755304;1
2,56;0,754549;1
2,57;0,753781;1
2,58;0,753001;1
2,59;0,752208;1
2,6;0,751405;1
2,61;0,75059;1
2,62;0,749764;1
2,63;0,748929;1
2,64;0,748083;1
2,65;0,747228;1
2,66;0,746365;1
2,67;0,745492;1
2,68;0,744612;1
2,69;0,743724;1
2,7;0,742829;1
2,71;0,741926;1
2,72;0,741018;1
2,73;0,740103;1
2,74;0,739182;1
2,75;0,738256;1
2,76;0,737325;1
2,77;0,736389;1
2,78;0,735449;1
2,79;0,734505;1
2,8;0,733558;1
2,81;0,732607;1
2,82;0,731654;1
2,83;0,730697;1
2,84;0,729739;1
2,85;0,728778;1
2,86;0,727816;1
2,87;0,726853;1
2,88;0,725889;1
2,89;0,724924;1
2,9;0,723959;1
2,91;0,722993;1
2,92;0,722028;1
2,93;0,721063;1
2,94;0,720099;1
2,95;0,719136;1
2,96;0,718175;1
2,97;0,717215;1
2,98;0,716256;1
2,99;0,7153;1
3;0,714346;1
3,01;0,713395;1
3,02;0,712447;1
3,03;0,711501;1
3,04;0,710559;1
3,05;0,70962;1
3,06;0,708685;1
3,07;0,707754;1
3,08;0,706827;1
3,09;0,705904;1
3,1;0,704986;1
3,11;0,704073;1
3,12;0,703164;1
3,13;0,702261;1
3,14;0,701363;1
3,15;0,70047;1
3,16;0,699583;1
3,17;0,698701;1
3,18;0,697826;1
3,19;0,696956;1
3,2;0,696093;1
3,21;0,695237;1
3,22;0,694386;1
3,23;0,693543;1
3,24;0,692706;1
3,25;0,691876;1
3,26;0,691054;1
3,27;0,690238;1
3,28;0,68943;1
3,29;0,688629;1
3,3;0,687835;1
3,31;0,68705;1
3,32;0,686272;1
